translation
"{'en': 'Conner!', 'es': '¡Conner!'}"
"{'en': '(Signed) Revaz Adamia Ambassador Permanent Representative', 'es': '(Firmado) Revaz Adamia Embajador Representante Permanente'}"
"{'en': '(Signed) Revaz Adamia Ambassador Permanent Representative\n', 'es': '(Firmado) Revaz Adamia Embajador Representante Permanente'}"
"{'en': ""It'll help him get through."", 'es': 'Quiero ver la cama.'}"
"{'en': 'definitely help her get through.\n', 'es': 'Quiero ver la cama.'}"
"{'en': '...and you want someone out.', 'es': 'el trabajo y empezara a trabajar.'}"
"{'en': '…and you want somebody to get out.\n', 'es': 'el trabajo y empezara a trabajar.'}"
"{'en': '[David]', 'es': 'La ensalada se sirve al final.'}"
"{'en': '[David]\n', 'es': 'La ensalada se sirve al final.'}"
"{'en': '7.', 'es': '7.'}"
"{'en': '7.\n', 'es': '7.'}"
"{'en': '4. The Council of Europe adopted the draft resolution adopted by the Council of Europe.', 'es': '4.'}"
"{'en': '4.\n', 'es': '4.'}"
"{'en': '- Oh, right.', 'es': '-Oh.'}"
"{'en': '-Oh.\n', 'es': '-Oh.'}"
"{'en': '""Stop""', 'es': 'Eso es lo que pensé.'}"
"{'en': '""ARRESTED""\n', 'es': 'Eso es lo que pensé.'}"
"{'en': '- Hello.', 'es': '- Hola.'}"
"{'en': '-Hello.\n', 'es': '- Hola.'}"
"{'en': '(Hello?)', 'es': 'Hola.'}"
"{'en': '(Hello? )\n', 'es': 'Hola.'}"
"{'en': '5.', 'es': '5.'}"
"{'en': '5.\n', 'es': '5.'}"
"{'en': '""Hey, beautiful...""', 'es': '""Eh, guapo...""'}"
"{'en': '""Hey handsome...""\n', 'es': '""Eh, guapo...""'}"
"{'en': '3.', 'es': '3.'}"
"{'en': '3.\n', 'es': '3.'}"
"{'en': '10.', 'es': '1-0.'}"
"{'en': '10.\n', 'es': '1-0.'}"
"{'en': '04/12/2015, 12:35', 'es': '31/03/2011, 14:15'}"
"{'en': '04/12/2015, 12:35\n', 'es': '31/03/2011, 14:15'}"
"{'en': ""- It's okay."", 'es': '- Ah, OK.'}"
"{'en': '-Okay.\n', 'es': '- Ah, OK.'}"
"{'en': '- The hell fish.', 'es': '- Hellfish.'}"
"{'en': '-Hellfish.\n', 'es': '- Hellfish.'}"
"{'en': '- Elizabeth.', 'es': '- Me tengo que ir.'}"
"{'en': '-Elizabeth.\n', 'es': '- Me tengo que ir.'}"
"{'en': 'I. The United States of America', 'es': 'i.'}"
"{'en': 'i.\n', 'es': 'i.'}"
"{'en': '66.', 'es': '66.'}"
"{'en': '66.\n', 'es': '66.'}"
"{'en': ""That's right."", 'es': '- Hola, Tedward.'}"
"{'en': '.\n', 'es': '- Hola, Tedward.'}"
"{'en': '8.', 'es': '8.'}"
"{'en': '8.\n', 'es': '8.'}"
"{'en': '(4 Bewertungen)', 'es': '(79 Bewertungen)'}"
"{'en': '(4 Bewertungen)\n', 'es': '(79 Bewertungen)'}"
"{'en': '- Who?', 'es': '-¿Quién?'}"
"{'en': '-Who?\n', 'es': '-¿Quién?'}"
"{'en': '5x0=________________________________________________________________________________________________________________', 'es': '5x1=____'}"
"{'en': '5x0=____\n', 'es': '5x1=____'}"
"{'en': '07.11.-14.11.', 'es': '04.06.-11.06.'}"
"{'en': '07.11.-14.11.\n', 'es': '04.06.-11.06.'}"
"{'en': '- Why?', 'es': '- ¿Por qué?'}"
"{'en': '-Why?\n', 'es': '- ¿Por qué?'}"
"{'en': '- There you go!', 'es': '- ¡Allí!'}"
"{'en': '-There!\n', 'es': '- ¡Allí!'}"
"{'en': '""Honorable Somchai,""', 'es': 'Honorable Somchai,'}"
"{'en': '""Honorable Somchai,""\n', 'es': 'Honorable Somchai,'}"
"{'en': '4. The Council of Europe adopted the draft resolution adopted by the Council of Europe.', 'es': '4.'}"
"{'en': '4.\n', 'es': '4.'}"
"{'en': '11. The Council of Europe adopted a Council of Europe resolution on the issue of human rights and equality between women and men.', 'es': '11.'}"
"{'en': '11.\n', 'es': '11.'}"
"{'en': '- What?', 'es': '- ¿Qué?'}"
"{'en': '-What?\n', 'es': '- ¿Qué?'}"
"{'en': ""What's this?"", 'es': 'Así es que me gustaría presentar Una moción para que le enviamos'}"
"{'en': '[LAUGHING]\n', 'es': 'Así es que me gustaría presentar Una moción para que le enviamos'}"
"{'en': '- Not at all.', 'es': 'Lo siento, pero no es un delito conocer a Tomás Riffaut.'}"
"{'en': '-No.\n', 'es': 'Lo siento, pero no es un delito conocer a Tomás Riffaut.'}"
"{'en': '(1)', 'es': 'Douche (116)'}"
"{'en': '(1)\n', 'es': 'Douche (116)'}"
"{'en': '3.', 'es': '3 .'}"
"{'en': '3.\n', 'es': '3 .'}"
"{'en': '""Eièceöèÿ""', 'es': '""El sueño de Petersburgo""'}"
"{'en': '""Êîìïîçèöèÿ""\n', 'es': '""El sueño de Petersburgo""'}"
"{'en': 'Hello.', 'es': 'Hola.'}"
"{'en': 'hello.\n', 'es': 'Hola.'}"
"{'en': ""1. The Council of Europe adopted the Commission's report on the implementation of the Agreement on Tariffs and Trade between the European Union and the European Union."", 'es': '1.'}"
"{'en': '1.\n', 'es': '1.'}"
"{'en': '__________________', 'es': 'Azizbek a_grigory'}"
"{'en': '__________________\n', 'es': 'Azizbek a_grigory'}"
"{'en': ""That's right."", 'es': '.'}"
"{'en': '.\n', 'es': '.'}"
"{'en': '4. The Council of Europe adopted the draft resolution adopted by the Council of Europe.', 'es': '4.'}"
"{'en': '4.\n', 'es': '4.'}"
"{'en': '7.', 'es': '7.'}"
"{'en': '7.\n', 'es': '7.'}"
"{'en': '3.', 'es': '3 .'}"
"{'en': '3.\n', 'es': '3 .'}"
"{'en': '- Oh, right.', 'es': '-Oh.'}"
"{'en': '-Oh.\n', 'es': '-Oh.'}"
"{'en': '[Crying]', 'es': 'Bleep'}"
"{'en': '[Bleep]\n', 'es': 'Bleep'}"
"{'en': '5.', 'es': '5.'}"
"{'en': '5.\n', 'es': '5.'}"
"{'en': ""What's the matter?"", 'es': '!'}"
"{'en': '!\n', 'es': '!'}"
"{'en': '- Yes?', 'es': '- ¿Sí?'}"
"{'en': '-Yeah?\n', 'es': '- ¿Sí?'}"
"{'en': '- Yes.', 'es': '- Sí.'}"
"{'en': '-Yeah.\n', 'es': '- Sí.'}"
"{'en': '- What do you mean?', 'es': '- ¿Cómo?'}"
"{'en': '-How?\n', 'es': '- ¿Cómo?'}"
"{'en': 'Yes.', 'es': '- Sí.'}"
"{'en': 'yeah.\n', 'es': '- Sí.'}"
"{'en': 'When?', 'es': 'cuándo?'}"
"{'en': 'when?\n', 'es': 'cuándo?'}"
"{'en': ""What's the matter?"", 'es': '!'}"
"{'en': '!\n', 'es': '!'}"
"{'en': ""- That's not true."", 'es': '- Bueno.'}"
"{'en': '- Bruce:\n', 'es': '- Bueno.'}"
"{'en': '3.', 'es': '3.'}"
"{'en': '3.\n', 'es': '3.'}"
"{'en': '2013-06-28 13:00:00', 'es': '2011-03-19 13:22:00'}"
"{'en': '2013-06-28 13:00:00\n', 'es': '2011-03-19 13:22:00'}"
"{'en': '- Yes.', 'es': '- Sí.'}"
"{'en': '-Yes.\n', 'es': '- Sí.'}"
"{'en': ""What's the matter?"", 'es': '.'}"
"{'en': '!\n', 'es': '.'}"
"{'en': '(1999/445/EC, ECSC)', 'es': '(1999/445/CE, CECA)'}"
"{'en': '(1999/445/EC, ECSC)\n', 'es': '(1999/445/CE, CECA)'}"
"{'en': ""Isn't that right?"", 'es': '¿correcto?'}"
"{'en': 'right?\n', 'es': '¿correcto?'}"
"{'en': '- Why?', 'es': '- ¿Por qué?'}"
"{'en': '-Why?\n', 'es': '- ¿Por qué?'}"
"{'en': '4. The Council of Europe adopted the draft resolution adopted by the Council of Europe.', 'es': '4.'}"
"{'en': '4.\n', 'es': '4.'}"
"{'en': '05/11/2013, 20:07', 'es': '19/10/2013, 01:20'}"
"{'en': '05/11/2013, 20:07\n', 'es': '19/10/2013, 01:20'}"
"{'en': '- Well?', 'es': '- ¿Y?'}"
"{'en': '-So?\n', 'es': '- ¿Y?'}"
"{'en': ""1. The Council of Europe adopted the Commission's report on the implementation of the Agreement on Tariffs and Trade between the European Union and the European Union."", 'es': '1.'}"
"{'en': '1.\n', 'es': '1.'}"
"{'en': '• Management: additional inputs and outputs', 'es': '• Administración: insumos y productos adicionales'}"
"{'en': '• Management: additional inputs and outputs\n', 'es': '• Administración: insumos y productos adicionales'}"
"{'en': '1 ml of water for injections', 'es': '1 ml de agua para inyección.'}"
"{'en': '1 ml water for Injections\n', 'es': '1 ml de agua para inyección.'}"
"{'en': '» Indotel instalará red satelital in Haití (El Caribe)', 'es': '» Indotel instalará red satelital en Haití (El Caribe)'}"
"{'en': '» Indotel instalará red satelital en Haití (El Caribe)\n', 'es': '» Indotel instalará red satelital en Haití (El Caribe)'}"
"{'en': '♪ All I have to do is think about me ♪', 'es': 'Corrección y ajustes: La_Sara.'}"
"{'en': '♪ all I have to do is think of me♪\n', 'es': 'Corrección y ajustes: La_Sara.'}"
"{'en': 'would have been devastating', 'es': 'Habría sido devastador.'}"
"{'en': 'would have been devastating\n', 'es': 'Habría sido devastador.'}"
"{'en': '8.13 p.m.', 'es': '13:11'}"
"{'en': '20:13\n', 'es': '13:11'}"
"{'en': '8', 'es': 'marzo ( 8 )'}"
"{'en': '8\n', 'es': 'marzo ( 8 )'}"
"{'en': '18/03/2006:', 'es': '07/10/2007:'}"
"{'en': '18/03/2006:\n', 'es': '07/10/2007:'}"
"{'en': 'http://www.vodniraj.cz/bazen.asp', 'es': 'http://www.madeira.ji.cz/'}"
"{'en': 'http://www.vodniraj.cz/bazen.asp\n', 'es': 'http://www.madeira.ji.cz/'}"
"{'en': '_', 'es': 'Tenemos que dirigirnos al norte.'}"
"{'en': '_\n', 'es': 'Tenemos que dirigirnos al norte.'}"
"{'en': '24/05/2016 15:54', 'es': '24/05/2016 19:15'}"
"{'en': '24/05/2016 15:54\n', 'es': '24/05/2016 19:15'}"
"{'en': 'http://myfiles.onl/ajzukiuoe8ay', 'es': 'http://myfiles.onl/gvwbphg2dh0b'}"
"{'en': 'http://myfiles.onl/ajzukiuoe8ay\n', 'es': 'http://myfiles.onl/gvwbphg2dh0b'}"
"{'en': '_', 'es': 'Pegajoso. Goteaba por todos lados.'}"
"{'en': '_\n', 'es': 'Pegajoso. Goteaba por todos lados.'}"
"{'en': '_', 'es': 'CINCO HORAS ANTES...'}"
"{'en': '_\n', 'es': 'CINCO HORAS ANTES...'}"
"{'en': '26:48', 'es': '7:26'}"
"{'en': '26:48\n', 'es': '7:26'}"
"{'en': '27/06/2014', 'es': '19/11/2014'}"
"{'en': '27/06/2014\n', 'es': '19/11/2014'}"
"{'en': '10/28/2014', 'es': '05/28/2010'}"
"{'en': '10/28/2014\n', 'es': '05/28/2010'}"
"{'en': 'http://www.radiodeep.cl/web/wp-content/uploads/2010/10/Kaotte-2010-09-01-Kaottes-Kitchen.jpg', 'es': 'http://www.carcaj.cl/2010/10/desformacion-de-ciudadania-y-fracaso-democratico-en-el-chile-de-la-postdictadura/ [...]'}"
"{'en': 'http://www.radiodeep.cl/web/wp-content/uploads/2010/10/Karotte-2010-09-01-Karottes-Kitchen.jpg\n', 'es': 'http://www.carcaj.cl/2010/10/desformacion-de-ciudadania-y-fracaso-democratico-en-el-chile-de-la-postdictadura/ [...]'}"
"{'en': '_', 'es': 'Fischer era predecible.'}"
"{'en': '_\n', 'es': 'Fischer era predecible.'}"
"{'en': '- Hello.', 'es': 'Buendía.'}"
"{'en': '- Hello\n', 'es': 'Buendía.'}"
"{'en': 'http://www.ypagesusa.com/guide/karaoke_bars.htm', 'es': 'http://texas.guiatrabajo.com'}"
"{'en': 'http://www.ypagesusa.com/guide/karaoke_bars.htm\n', 'es': 'http://texas.guiatrabajo.com'}"
"{'en': ""What's this?"", 'es': ']'}"
"{'en': ']\n', 'es': ']'}"
"{'en': '31 United States of America 31', 'es': '31'}"
"{'en': '31\n', 'es': '31'}"
"{'en': '1', 'es': 'ARTICULO 3° - 1.'}"
"{'en': '1\n', 'es': 'ARTICULO 3° - 1.'}"
"{'en': '16', 'es': '28 ( 16 )'}"
"{'en': '16\n', 'es': '28 ( 16 )'}"
"{'en': '0.80', 'es': '0,80'}"
"{'en': '0.80\n', 'es': '0,80'}"
"{'en': 'http://224-veh.dedr-net.ru/', 'es': 'http://qdgxh.gaz-porno.ru/'}"
"{'en': 'http://224-veh.dedr-net.ru/\n', 'es': 'http://qdgxh.gaz-porno.ru/'}"
"{'en': 'http://rockfile.eu/0gy1mapi2m4n.html', 'es': 'http://rockfile.eu/w4p1iryu7a4a.html'}"
"{'en': 'http://rockfile.eu/0gy1mapi2m4n.html\n', 'es': 'http://rockfile.eu/w4p1iryu7a4a.html'}"
"{'en': '_', 'es': 'Trabajo esta noche.'}"
"{'en': '_\n', 'es': 'Trabajo esta noche.'}"
"{'en': '...corroborating', 'es': '- ... corroborando...'}"
"{'en': '...corroborating\n', 'es': '- ... corroborando...'}"
"{'en': '- Welcome.', 'es': '- Bienvenida.'}"
"{'en': '- Welcome\n', 'es': '- Bienvenida.'}"
"{'en': '3 December', 'es': '3 de diciembre'}"
"{'en': '3 December\n', 'es': '3 de diciembre'}"
"{'en': 'Annex II', 'es': 'ANEXO II'}"
"{'en': 'ANNEX II\n', 'es': 'ANEXO II'}"
"{'en': 'Romania', 'es': 'Rumanía'}"
"{'en': 'Romania\n', 'es': 'Rumanía'}"
"{'en': 'Maybe.', 'es': '- ¿Quiere que lo escriba yo?'}"
"{'en': 'Perhaps\n', 'es': '- ¿Quiere que lo escriba yo?'}"
"{'en': 'Height of the car', 'es': 'Altura automática'}"
"{'en': 'AutoHeight\n', 'es': 'Altura automática'}"
"{'en': 'Part II', 'es': 'SEGUNDA PARTE 1988'}"
"{'en': 'Part II\n', 'es': 'SEGUNDA PARTE 1988'}"
"{'en': 'Koetsu Honami', 'es': 'Koetsu Honami'}"
"{'en': 'Koetsu Honami\n', 'es': 'Koetsu Honami'}"
"{'en': 'Deva Devan', 'es': 'Deva Devan'}"
"{'en': 'Deva Devan\n', 'es': 'Deva Devan'}"
"{'en': 'Saint Helena', 'es': 'Santa Elena'}"
"{'en': 'Saint Helena\n', 'es': 'Santa Elena'}"
"{'en': 'MODEL A', 'es': 'MODELO A'}"
"{'en': 'MODEL A\n', 'es': 'MODELO A'}"
"{'en': 'Annex III', 'es': 'Anexo III'}"
"{'en': 'Annex III\n', 'es': 'Anexo III'}"
"{'en': 'Eurostat', 'es': 'Eurostat.'}"
"{'en': 'Eurostat\n', 'es': 'Eurostat.'}"
"{'en': 'All right.', 'es': 'Está bien.'}"
"{'en': 'Okay\n', 'es': 'Está bien.'}"
"{'en': 'English', 'es': 'página 15'}"
"{'en': 'English\n', 'es': 'página 15'}"
"{'en': 'Addendum', 'es': 'Adición'}"
"{'en': 'Addendum\n', 'es': 'Adición'}"
"{'en': 'Fifth Committee', 'es': 'Quinta Comisión'}"
"{'en': 'Fifth Committee\n', 'es': 'Quinta Comisión'}"
"{'en': 'Neighboring country', 'es': 'País vecino'}"
"{'en': 'Neighbouring Country\n', 'es': 'País vecino'}"
"{'en': 'APPENDIX I', 'es': 'ANEXO I'}"
"{'en': 'ANNEX I\n', 'es': 'ANEXO I'}"
"{'en': 'Participants Registration', 'es': 'Registro de Participantes'}"
"{'en': 'Participants Registration\n', 'es': 'Registro de Participantes'}"
"{'en': 'Addendum', 'es': 'Adición'}"
"{'en': 'Addendum\n', 'es': 'Adición'}"
"{'en': 'Risperdale', 'es': 'Risperdal'}"
"{'en': 'Risperdal\n', 'es': 'Risperdal'}"
"{'en': 'Remove', 'es': 'Eliminar'}"
"{'en': 'Remove\n', 'es': 'Eliminar'}"
"{'en': 'Germany', 'es': 'Grecia'}"
"{'en': 'Germany\n', 'es': 'Grecia'}"
"{'en': 'Much better', 'es': 'Mucho mejor'}"
"{'en': 'Much better\n', 'es': 'Mucho mejor'}"
"{'en': 'Excellent', 'es': 'Genial'}"
"{'en': 'Excellent\n', 'es': 'Genial'}"
"{'en': 'Puerto Barrios', 'es': 'Puerto Barriosguatemala. kgm'}"
"{'en': 'Puerto Barrios\n', 'es': 'Puerto Barriosguatemala. kgm'}"
"{'en': 'Preamble', 'es': 'Preámbulo'}"
"{'en': 'Preamble\n', 'es': 'Preámbulo'}"
"{'en': 'Boxing', 'es': 'Boxeo'}"
"{'en': 'Boxing\n', 'es': 'Boxeo'}"
"{'en': 'Sponc', 'es': 'Sponc'}"
"{'en': 'Sponc\n', 'es': 'Sponc'}"
"{'en': 'Addendum', 'es': 'Adición'}"
"{'en': 'Addendum\n', 'es': 'Adición'}"
"{'en': 'Fifth Committee', 'es': 'Quinta Comisión'}"
"{'en': 'Fifth Committee\n', 'es': 'Quinta Comisión'}"
"{'en': 'RECOVERY AREA', 'es': 'ÁREA “RECUPERACIÓN”'}"
"{'en': '“RECOVERY” AREA\n', 'es': 'ÁREA “RECUPERACIÓN”'}"
"{'en': '6. Final of the Leyenda', 'es': 'Al final de la leyenda'}"
"{'en': '6. Al Final de la Leyenda\n', 'es': 'Al final de la leyenda'}"
"{'en': '% The bo meh shirareh hai', 'es': 'Le bo meh shirareh hai'}"
"{'en': '% Le bo meh shirareh hai\n', 'es': 'Le bo meh shirareh hai'}"
"{'en': 'by George Soros', 'es': 'por George Soros'}"
"{'en': 'by George Soros\n', 'es': 'por George Soros'}"
"{'en': 'Pyritidium bromide', 'es': 'bromuro de piritidio'}"
"{'en': 'pyritidium bromide\n', 'es': 'bromuro de piritidio'}"
"{'en': 'vi', 'es': 'vi'}"
"{'en': 'vi\n', 'es': 'vi'}"
"{'en': 'Allyl bromide', 'es': 'alilbromuro'}"
"{'en': 'allylbromide\n', 'es': 'alilbromuro'}"
"{'en': 'including arrears', 'es': 'incluidos los atrasos'}"
"{'en': 'including arrears\n', 'es': 'incluidos los atrasos'}"
"{'en': 'and Commodities', 'es': 'TD/B/COM.1/L.20/Add.3 7 de febrero de 2002'}"
"{'en': 'and Commodities\n', 'es': 'TD/B/COM.1/L.20/Add.3 7 de febrero de 2002'}"
"{'en': 'fosphenytoin', 'es': 'fosfenitoína'}"
"{'en': 'fosphenytoin\n', 'es': 'fosfenitoína'}"
"{'en': 'sulfasuccinamide', 'es': 'sulfasuccinamida'}"
"{'en': 'sulfasuccinamide\n', 'es': 'sulfasuccinamida'}"
