translation
"{'en': 'Print Preview', 'af': 'Druk Voorskou...'}"
"{'en': '_Unlock', 'af': 'Sl_uit oop'}"
"{'en': '_Unlock\n', 'af': 'Sl_uit oop'}"
"{'en': '_Clarify', 'af': '_Verwyder'}"
"{'en': '_Clear\n', 'af': '_Verwyder'}"
"{'en': '& General', 'af': 'Algemeen@ title: window'}"
"{'en': '& General\n', 'af': 'Algemeen@ title: window'}"
"{'en': '0.74', 'af': '0. 74'}"
"{'en': '0.74\n', 'af': '0. 74'}"
"{'en': '& Close Document', 'af': 'Maak Dokument toe'}"
"{'en': '& CloseDocument\n', 'af': 'Maak Dokument toe'}"
"{'en': '_Hard', 'af': '_Moeilik'}"
"{'en': '_Hard\n', 'af': '_Moeilik'}"
"{'en': '_In', 'af': 'i_n'}"
"{'en': 'i_n\n', 'af': 'i_n'}"
"{'en': '_Synchronize', 'af': 'Sinchroniseer'}"
"{'en': '_Synchronize\n', 'af': 'Sinchroniseer'}"
"{'en': '_Add', 'af': '_Voeg by'}"
"{'en': '_Add\n', 'af': '_Voeg by'}"
"{'en': '& Romanian', 'af': 'Romeense'}"
"{'en': '& Romanian\n', 'af': 'Romeense'}"
"{'en': '_Close', 'af': '_Sluit'}"
"{'en': '_Close\n', 'af': '_Sluit'}"
"{'en': '_Close', 'af': '_Sluit'}"
"{'en': '_Close\n', 'af': '_Sluit'}"
"{'en': '_2×2', 'af': '_2×2'}"
"{'en': '_2×2\n', 'af': '_2×2'}"
"{'en': '- Wait.', 'af': 'Wag.'}"
"{'en': '- Wait\n', 'af': 'Wag.'}"
"{'en': '_Move', 'af': '_Skuif'}"
"{'en': '_Move\n', 'af': '_Skuif'}"
"{'en': '8.9', 'af': '8. 9'}"
"{'en': '8.9\n', 'af': '8. 9'}"
"{'en': '_Help', 'af': '_Hulp'}"
"{'en': '_Help\n', 'af': '_Hulp'}"
"{'en': '_My', 'af': '_Ma.'}"
"{'en': '_Mon\n', 'af': '_Ma.'}"
"{'en': '& Redo', 'af': 'Herstel herroep'}"
"{'en': '& Redo\n', 'af': 'Herstel herroep'}"
"{'en': 'Pi/2 (in thousands of United States dollars)', 'af': 'pi/ 2'}"
"{'en': 'pi/2\n', 'af': 'pi/ 2'}"
"{'en': '_Privacy', 'af': '_Privaat'}"
"{'en': '_Private\n', 'af': '_Privaat'}"
"{'en': '00:00', 'af': '2000. 0Sky object passing below the horizon'}"
"{'en': '00:00\n', 'af': '2000. 0Sky object passing below the horizon'}"
"{'en': '%6d', 'af': '%6d'}"
"{'en': '%6d\n', 'af': '%6d'}"
"{'en': '_Later', 'af': '_Later'}"
"{'en': '_Later\n', 'af': '_Later'}"
"{'en': '_Help', 'af': '_Hulp'}"
"{'en': '_Help\n', 'af': '_Hulp'}"
"{'en': '_Install', 'af': '_Installeer'}"
"{'en': '_Install\n', 'af': '_Installeer'}"
"{'en': '_Hide', 'af': '_Versteek'}"
"{'en': '_Hide\n', 'af': '_Versteek'}"
"{'en': '& Initialize', 'af': 'Inisialiseer'}"
"{'en': '& Initialize\n', 'af': 'Inisialiseer'}"
"{'en': '- Yes.', 'af': 'Ja?'}"
"{'en': '- Yes\n', 'af': 'Ja?'}"
"{'en': 'months(s)', 'af': 'maand(e)'}"
"{'en': 'month(s)\n', 'af': 'maand(e)'}"
"{'en': '3.1 This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.', 'af': '3. 1'}"
"{'en': '3.1\n', 'af': '3. 1'}"
"{'en': '_Delete', 'af': 'Ve_rwyder'}"
"{'en': '_Remove\n', 'af': 'Ve_rwyder'}"
"{'en': '& Recover', 'af': 'Aanheg'}"
"{'en': '& Fetch\n', 'af': 'Aanheg'}"
"{'en': '& Back', 'af': 'Vetdruk'}"
"{'en': '& Bold\n', 'af': 'Vetdruk'}"
"{'en': '0.94', 'af': '0. 94'}"
"{'en': '0.94\n', 'af': '0. 94'}"
"{'en': '_Cancel', 'af': '_Kanselleer afmelding'}"
"{'en': '_Cancel\n', 'af': '_Kanselleer afmelding'}"
"{'en': '3,500', 'af': '3. 500'}"
"{'en': '3.500\n', 'af': '3. 500'}"
"{'en': 'week(s)', 'af': 'Weke'}"
"{'en': 'week(s )\n', 'af': 'Weke'}"
"{'en': '_Read', 'af': '_Lees'}"
"{'en': '_Read\n', 'af': '_Lees'}"
"{'en': '_Delete', 'af': 'Ve_rwyder'}"
"{'en': '_Remove\n', 'af': 'Ve_rwyder'}"
"{'en': '_Add', 'af': '_Voeg by'}"
"{'en': '_Add\n', 'af': '_Voeg by'}"
"{'en': '_Open', 'af': '_Oorskryf'}"
"{'en': '_Overwrite\n', 'af': '_Oorskryf'}"
"{'en': '_16:9', 'af': '_16:9'}"
"{'en': '_16:9\n', 'af': '_16:9'}"
"{'en': '& Add', 'af': '...'}"
"{'en': '& Add\n', 'af': '...'}"
"{'en': '& Answer', 'af': 'Antwoord'}"
"{'en': '& Response\n', 'af': 'Antwoord'}"
"{'en': '_Copy', 'af': '_Kopieer'}"
"{'en': '_Copy\n', 'af': '_Kopieer'}"
"{'en': '_Help', 'af': '_Hulp'}"
"{'en': '_Help\n', 'af': '_Hulp'}"
"{'en': 'degF, F', 'af': 'degF,˚F'}"
"{'en': 'degF,˚F\n', 'af': 'degF,˚F'}"
"{'en': '3.75', 'af': '3. 75'}"
"{'en': '3.75\n', 'af': '3. 75'}"
"{'en': '& Send Email', 'af': 'Stuur pos@ label: listbox'}"
"{'en': '& Sendmail\n', 'af': 'Stuur pos@ label: listbox'}"
"{'en': '3.80', 'af': '3. 80'}"
"{'en': '3.80\n', 'af': '3. 80'}"
"{'en': '0.65', 'af': '0. 65'}"
"{'en': '0.65\n', 'af': '0. 65'}"
"{'en': '_User Name', 'af': 'Gebr_uikernaam'}"
"{'en': '_Username\n', 'af': 'Gebr_uikernaam'}"
"{'en': '_Resign', 'af': '_Gee op'}"
"{'en': '_Resign\n', 'af': '_Gee op'}"
"{'en': 'degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC, degC,', 'af': 'degC,˚C'}"
"{'en': 'degC,˚C\n', 'af': 'degC,˚C'}"
"{'en': '4.450', 'af': '4. 450'}"
"{'en': '4.450\n', 'af': '4. 450'}"
"{'en': '& Paste', 'af': 'Plak'}"
"{'en': '& Paste\n', 'af': 'Plak'}"
"{'en': '% completed', 'af': '% voltooid'}"
"{'en': '% Complete\n', 'af': '% voltooid'}"
"{'en': '_Resize', 'af': 'Verstel _grootte'}"
"{'en': '_Resize\n', 'af': 'Verstel _grootte'}"
"{'en': '_Clarify', 'af': '_Verwyder'}"
"{'en': '_Clear\n', 'af': '_Verwyder'}"
"{'en': '_Read', 'af': '_Gelees'}"
"{'en': '_Read\n', 'af': '_Gelees'}"
"{'en': '& Follow', 'af': 'Snit'}"
"{'en': '& Track\n', 'af': 'Snit'}"
"{'en': '0.50', 'af': '0. 50'}"
"{'en': '0.50\n', 'af': '0. 50'}"
"{'en': '_Delete', 'af': '_Deel uit'}"
"{'en': '_Deal\n', 'af': '_Deel uit'}"
"{'en': '& Reset', 'af': 'Herstel'}"
"{'en': '& Reset\n', 'af': 'Herstel'}"
"{'en': '_Hard', 'af': '_Moeilik'}"
"{'en': '_Hard\n', 'af': '_Moeilik'}"
"{'en': '& East', 'af': 'Oos'}"
"{'en': '& East\n', 'af': 'Oos'}"
"{'en': '_Rename', 'af': 'He_rnoem'}"
"{'en': '_Rename\n', 'af': 'He_rnoem'}"
"{'en': '- Yes.', 'af': '-'}"
"{'en': '-\n', 'af': '-'}"
"{'en': '_Delete', 'af': '_Deel uit'}"
"{'en': '_Deal\n', 'af': '_Deel uit'}"
"{'en': '_Copy', 'af': '_Kopieer'}"
"{'en': '_Copy\n', 'af': '_Kopieer'}"
"{'en': '_Replace', 'af': 'Antwoo_rd'}"
"{'en': '_Replace\n', 'af': 'Antwoo_rd'}"
"{'en': '8,500', 'af': '8. 500'}"
"{'en': '8.500\n', 'af': '8. 500'}"
"{'en': '& Share', 'af': 'Deel met ander mense'}"
"{'en': '& Share\n', 'af': 'Deel met ander mense'}"
"{'en': '0.36', 'af': '0. 36'}"
"{'en': '0.36\n', 'af': '0. 36'}"
"{'en': '=', 'af': '='}"
"{'en': '=\n', 'af': '='}"
"{'en': '3.15', 'af': '3. 15'}"
"{'en': '3.15\n', 'af': '3. 15'}"
"{'en': '_Cancel', 'af': '_Kanselleer'}"
"{'en': '_Cancel\n', 'af': '_Kanselleer'}"
"{'en': '_Dec', 'af': '_Des'}"
"{'en': '_Dec\n', 'af': '_Des'}"
"{'en': '8.3', 'af': '8. 3'}"
"{'en': '8.3\n', 'af': '8. 3'}"
"{'en': '& Alignment', 'af': 'Oplyn'}"
"{'en': '& Alignment\n', 'af': 'Oplyn'}"
"{'en': 'minute(s)', 'af': 'minuut(e)'}"
"{'en': 'minute(s)\n', 'af': 'minuut(e)'}"
"{'en': '_Reset', 'af': '_Terugstel_Restart"" is the menu item \'Game->Restart\', implies ""Restart Game'}"
"{'en': '_Reset\n', 'af': '_Terugstel_Restart"" is the menu item \'Game->Restart\', implies ""Restart Game'}"
"{'en': '_Send', 'af': '_Stuur'}"
"{'en': '_Send\n', 'af': '_Stuur'}"
"{'en': '& History', 'af': 'Geskiedenis'}"
"{'en': '& History\n', 'af': 'Geskiedenis'}"
"{'en': '_Read', 'af': '_Gelees'}"
"{'en': '_Read\n', 'af': '_Gelees'}"
"{'en': '_Delete', 'af': '_Deel uit'}"
"{'en': '_Deal\n', 'af': '_Deel uit'}"
"{'en': '& Forward', 'af': 'Stuur aan'}"
"{'en': '& Forward\n', 'af': 'Stuur aan'}"
"{'en': '7.2.', 'af': '7. 2'}"
"{'en': '7.2\n', 'af': '7. 2'}"
"{'en': 'hKg/ m3', 'af': '% 1 g/ cm^3density unit symbol'}"
"{'en': 'hKg/ m³\n', 'af': '% 1 g/ cm^3density unit symbol'}"
"{'en': '_Clarify', 'af': '_Verwyder'}"
"{'en': '_Clear\n', 'af': '_Verwyder'}"
"{'en': '& Articles', 'af': 'Aktikels'}"
"{'en': '& Articles\n', 'af': 'Aktikels'}"
"{'en': '& Close', 'af': 'Toemaakbaar'}"
"{'en': '& Closeable\n', 'af': 'Toemaakbaar'}"
"{'en': '_Fix', 'af': '_Stel'}"
"{'en': '_Set\n', 'af': '_Stel'}"
"{'en': '_Select', 'af': '_Kies'}"
"{'en': '_Select\n', 'af': '_Kies'}"
"{'en': '_Move', 'af': '_Skuif'}"
"{'en': '_Move\n', 'af': '_Skuif'}"
"{'en': '%H: %M: %S', 'af': '%H:%M:%SMay 01May 1'}"
"{'en': '%H:%M:%S\n', 'af': '%H:%M:%SMay 01May 1'}"
"{'en': '%H: %M: %S', 'af': '%H:%M:%SMay 01May 1'}"
"{'en': '%H:%M:%S\n', 'af': '%H:%M:%SMay 01May 1'}"
